entidad,campo,problema,valor_legacy
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23899.,
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23908.,
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23910.,
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23911.,
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23922.,
oferta:24162,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23923.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23925.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23907.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23903.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23916.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23898.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25716.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23895.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23909.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25717.,
oferta:24163,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 26284.,
oferta:24164,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23915.,
oferta:24164,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23917.,
oferta:24164,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23927.,
oferta:24165,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23920.,
oferta:24165,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23921.,
oferta:24165,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23926.,
oferta:24166,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23913.,
oferta:24166,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23918.,
oferta:24166,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 27212.,
oferta:24167,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23914.,
oferta:24167,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23924.,
oferta:24168,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25624.,
oferta:24168,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25625.,
oferta:24169,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 24299.,
oferta:24169,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 24432.,
oferta:24170,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 25623.,
oferta:24170,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23904.,
oferta:24170,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 26285.,
oferta:24171,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23897.,
oferta:24173,seminarios.caracter,No existe carácter obligatorio/opcional inequívoco para seminario legacy 23902.,
seminario:23822,imagen,Thumbnail legacy requiere resolución de media separada.,15040
seminario:23828,imagen,Thumbnail legacy requiere resolución de media separada.,23829
seminario:23895,imagen,Thumbnail legacy requiere resolución de media separada.,15579
seminario:23897,imagen,Thumbnail legacy requiere resolución de media separada.,19651
seminario:23898,imagen,Thumbnail legacy requiere resolución de media separada.,11921
seminario:23899,imagen,Thumbnail legacy requiere resolución de media separada.,24084
seminario:23900,imagen,Thumbnail legacy requiere resolución de media separada.,19682
seminario:23901,imagen,Thumbnail legacy requiere resolución de media separada.,19681
seminario:23902,imagen,Thumbnail legacy requiere resolución de media separada.,19587
seminario:23903,imagen,Thumbnail legacy requiere resolución de media separada.,23936
seminario:23904,imagen,Thumbnail legacy requiere resolución de media separada.,19601
seminario:23905,imagen,Thumbnail legacy requiere resolución de media separada.,16083
seminario:23906,imagen,Thumbnail legacy requiere resolución de media separada.,13080
seminario:23907,imagen,Thumbnail legacy requiere resolución de media separada.,12066
seminario:23908,imagen,Thumbnail legacy requiere resolución de media separada.,26973
seminario:23909,imagen,Thumbnail legacy requiere resolución de media separada.,27195
seminario:23910,imagen,Thumbnail legacy requiere resolución de media separada.,16056
